,마명,기록,거리,일자,습도,S1화롱,G3화롱,G1화롱,성별,나이,부중,기수,훈련량(분),새기록
11337,신가속도,1:56.5,1610,2018-12-22,14,18,40.4,13.8,수,4,57.5,곽용남,801,116.5
11338,신가속도,1:55.5,1610,2018-05-26,10,17,41.0,14.1,수,4,62.0,한영민,587,115.5
11339,신가속도,1:58.8,1610,2018-12-28,12,17,42.1,14.2,수,4,61.5,한영민,801,118.8
11340,신가속도,2:01.6,1610,2018-03-02,8,17,43.1,13.7,수,4,64.0,한영민,683,121.6
11341,신가속도,2:01.3,1610,2017-12-02,6,18,42.9,14.1,수,4,60.0,한영민,793,121.3
11342,신가속도,2:12.9,1700,2018-08-11,6,18,40.4,13.7,수,4,63.5,한영민,1685,132.9
11343,신가속도,2:10.9,1800,2018-10-13,6,15,43.7,15.2,수,4,55.0,한영민,1023,130.9
11344,신강자,1:02.2,900,2016-06-10,6,15,41.2,14.8,암,2,55.0,김준호,301,62.2
11345,신강자,1:12.0,1000,2016-09-23,6,15,43.2,15.5,암,2,54.0,김준호,789,72.0
11346,신강자,1:09.1,1000,2016-11-19,18,15,41.3,14.7,암,2,55.0,김준호,650,69.1
11347,신강자,1:26.0,1200,2016-12-23,18,15,43.9,15.2,암,2,54.0,김준호,592,86.0
11348,신괴물,1:45.7,1400,2014-03-14,12,16,46.4,16.2,수,4,57.0,안득수,123,105.7
11349,신괴물,1:43.1,1400,2014-02-08,20,16,44.7,15.3,수,4,57.0,한영민,123,103.1
11350,신궁사수,1:12.5,1000,2014-07-11,11,16,43.1,15.4,암,5,50.0,문현진,123,72.5
11351,신궁사수,1:11.6,1000,2014-05-31,4,16,42.3,14.7,암,5,51.0,문현진,123,71.6
11352,신궁사수,1:11.6,1000,2014-05-10,4,16,42.3,15.1,암,5,51.0,문현진,123,71.6
11353,신궁사수,1:13.3,1000,2014-01-17,9,16,43.2,14.7,암,5,50.0,문현진,123,73.3
11354,신궁사수,1:12.9,1000,2014-02-22,7,16,43.3,15.1,암,5,50.0,문현진,123,72.9
11355,신궁사수,1:12.1,1000,2014-04-04,5,16,42.8,15.2,암,5,50.0,문현진,123,72.1
11356,신궁사수,1:12.1,1000,2014-08-01,14,18,50.7,17.8,암,5,50.0,문현진,123,72.1
11357,신궁사수,1:12.9,1000,2014-03-28,9,16,42.1,14.3,암,5,54.0,안득수,123,72.9
11358,신궁사수,1:28.2,1200,2015-04-17,6,16,44.2,15.7,암,5,53.0,안득수,123,88.2
11359,신기루,1:05.5,900,2015-05-02,6,17,41.3,13.9,암,4,55.0,정명일,123,65.5
11360,신기루,1:05.3,900,2015-05-23,5,16,42.2,14.6,암,4,55.0,정명일,123,65.3
11361,신기루,1:04.5,900,2015-11-07,20,16,41.6,13.8,암,4,55.0,정명일,123,64.5
11362,신기루,1:02.3,900,2016-06-18,5,17,47.7,17.2,암,4,53.0,문현진,802,62.3
11363,신기루,1:06.2,900,2015-04-11,5,16,42.8,14.7,암,4,55.0,정명일,123,66.2
11364,신기루,1:07.5,900,2015-09-11,4,17,43.9,15.2,암,4,55.0,정명일,123,67.5
11365,신기루,1:06.6,900,2015-02-14,7,17,42.8,14.5,암,4,55.0,정명일,123,66.6
11366,신기루,1:10.6,1000,2016-05-27,8,16,41.0,14.1,암,4,55.0,정명일,507,70.6
11367,신기루,1:12.8,1000,2015-12-12,14,17,42.3,14.8,암,4,54.0,정명일,123,72.8
11368,신기루,1:12.1,1000,2016-01-22,13,16,42.3,14.4,암,4,54.0,정명일,643,72.1
11369,신기루,1:12.3,1000,2016-04-08,14,16,42.5,14.3,암,4,54.0,정명일,790,72.3
11370,신기루,1:12.5,1000,2016-02-27,7,16,42.7,14.3,암,4,54.0,정명일,516,72.5
11371,신기루,1:09.7,1000,2016-05-07,7,16,40.7,14.2,암,4,54.0,정명일,793,69.7
11372,신기루,1:26.4,1200,2016-05-21,3,16,42.9,14.7,암,4,55.0,정명일,1008,86.4
